,nb_id,has_author,jupyter_prop,output_cell_prop,num_contrib,image_prop,is_education,has_comments,num_commits,non_exec_prop,exec_inorder,exec_skips,has_error,has_export,num_functions,has_test,has_param,num_stars,cluster
1261,1190413,False,0.9997307424486274,0.21052631578947367,1.0,0.75,False,True,1.0,0.10526315789473684,0.8461538461538461,8.076923076923077,False,False,4.0,False,False,0.0,1
1262,1190621,False,0.9997307424486274,0.21052631578947367,1.0,0.75,False,True,1.0,0.10526315789473684,0.8461538461538461,8.076923076923077,False,False,4.0,False,False,0.0,1
1263,1190907,False,0.25955566354345416,0.3333333333333333,2.0,0.0,False,True,1.0,0.0,1.0,1.0,False,True,0.0,False,False,0.0,1
1264,1191019,False,0.5052223609012678,0.5714285714285714,1.0,0.25,False,False,1.0,0.0,1.0,1.0,True,False,0.0,False,False,0.0,1
1265,1191352,False,0.9789299666206868,0.3,1.0,0.3333333333333333,False,True,1.0,0.0,0.8571428571428571,2.7142857142857144,False,False,0.0,False,False,0.0,1
1266,1191921,False,1.0,0.5714285714285714,1.0,1.0,False,True,4.0,0.0,0.6,28.6,False,True,1.0,False,False,0.0,3
1267,1194739,False,0.08868459046324365,0.25,3.0,0.0,False,True,1.0,0.0,1.0,23.0,True,False,2.0,False,False,0.0,3
1268,1195028,False,0.014754923801968434,0.0,30.0,0.0,False,True,1.0,0.8,1.0,0.0,False,True,2.0,False,False,1.0,1
1269,1195425,False,0.9997307424486274,0.6666666666666666,1.0,0.0,False,True,1.0,0.0,0.8,4.8,False,False,10.0,False,False,0.0,1
1270,1195455,False,0.99792539519152,0.3333333333333333,4.0,0.0,False,True,1.0,0.3333333333333333,1.0,1.0,False,True,0.0,False,False,0.0,1
1271,1195550,False,0.9708065314200892,0.4691358024691358,1.0,0.2894736842105263,False,True,1.0,0.0,0.9240506329113924,6.329113924050633,True,True,0.0,False,False,0.0,1
1272,1197255,False,0.5809788849154887,0.5,1.0,0.0,True,True,2.0,0.0,1.0,0.0,True,False,0.0,False,False,0.0,1
1273,1197584,False,0.9987091027307812,0.32142857142857145,1.0,0.0,False,False,1.0,0.0,1.0,1.0,False,False,3.0,False,False,0.0,1
1274,1198056,False,1.0,0.25,0.0,0.0,False,True,1.0,0.375,1.0,1.0,False,True,4.0,False,False,2.0,1
1275,1200297,False,0.7264273142045768,0.0,1.0,0.0,False,False,1.0,1.0,1.0,0.0,False,False,0.0,False,False,0.0,1
1276,1200828,False,0.8972657679171415,0.7777777777777778,1.0,0.14285714285714285,False,True,1.0,0.0,1.0,2.0,False,False,5.0,False,False,1.0,1
1277,1201268,False,1.0,0.52,1.0,0.0,False,False,1.0,0.0,0.9130434782608696,3.739130434782609,False,False,19.0,False,False,0.0,1
1278,1201902,False,0.9996327340694068,0.5454545454545454,3.0,0.3333333333333333,True,False,1.0,0.12121212121212124,0.8928571428571429,4.75,True,False,3.0,False,False,0.0,1
1279,1202541,False,0.5809788849154887,1.0,1.0,0.0,True,True,1.0,0.0,1.0,0.0,False,True,0.0,False,False,0.0,1
1280,1203437,False,0.9829749089573756,0.2352941176470588,2.0,0.5,False,True,7.0,0.17647058823529413,0.9,3.2,False,False,0.0,False,False,5.0,1
