,nb_id,has_author,jupyter_prop,output_cell_prop,num_contrib,image_prop,is_education,has_comments,num_commits,non_exec_prop,exec_inorder,exec_skips,has_error,has_export,num_functions,has_test,has_param,num_stars
139,122210,False,high,high,low,high,False,True,low,low,high,low,False,False,low,False,False,low
140,123085,False,low,low,low,high,False,False,low,low,high,low,False,False,low,False,False,low
141,125573,False,high,high,low,low,False,True,low,low,high,high,True,True,low,False,False,low
142,126351,False,low,low,low,low,False,True,low,low,high,low,False,True,high,False,False,low
143,128047,False,low,low,low,low,False,False,low,low,high,low,False,False,low,False,False,low
144,128087,False,high,low,low,low,False,False,low,low,high,low,False,False,low,False,False,low
145,128406,False,high,low,low,low,False,False,low,low,high,high,False,False,low,False,False,low
146,128407,False,high,low,low,low,False,False,low,low,high,high,False,False,low,False,False,low
147,129766,False,high,high,low,high,False,True,high,low,high,low,False,False,low,False,False,low
148,131931,False,high,high,low,low,False,False,low,low,high,low,False,False,low,False,False,low
149,133089,False,high,low,high,low,False,True,low,low,high,low,False,True,low,False,False,low
150,133540,False,high,low,low,low,False,True,low,low,low,high,False,True,high,False,False,low
151,134060,False,high,low,low,low,False,False,low,low,high,low,True,False,low,False,False,low
152,135040,False,low,high,low,low,False,True,high,low,low,low,True,True,low,False,False,low
153,136480,False,high,low,low,low,False,True,low,low,high,low,False,True,low,False,False,low
154,138506,False,high,low,low,low,False,True,low,low,high,low,True,True,low,False,False,low
155,139547,False,high,low,low,low,False,False,high,low,low,low,False,False,low,False,False,low
156,140292,False,high,low,low,low,False,False,low,low,high,low,True,False,low,False,False,low
157,140921,False,high,high,low,low,False,False,low,low,high,low,True,False,low,False,False,low
158,142583,False,high,low,low,low,False,True,low,low,high,low,False,True,high,False,True,low
159,143430,False,high,high,low,low,False,True,low,low,low,high,False,True,low,False,False,low
160,143457,False,high,low,low,low,False,True,low,low,high,low,False,True,low,False,False,low
161,146622,False,high,high,low,high,False,False,low,low,high,low,False,False,low,False,False,low
162,148169,False,high,low,low,low,False,True,low,low,high,low,False,False,low,False,False,low
163,148241,False,high,low,low,high,False,True,low,low,high,low,False,True,low,False,False,low
164,149614,False,high,low,low,high,False,True,low,low,high,low,False,False,low,False,False,low
165,152284,False,high,low,low,low,False,True,low,low,high,low,False,False,low,False,False,low
166,152774,False,high,high,low,low,False,True,low,low,high,low,True,False,low,False,False,low
167,154493,False,low,high,low,low,False,False,low,low,high,low,False,False,low,False,False,low
168,155696,False,high,high,low,low,False,False,low,low,high,low,False,False,high,False,False,low
169,156183,False,high,low,low,high,False,True,high,low,high,high,False,False,low,False,False,low
170,158493,False,high,low,low,low,False,True,low,low,high,low,False,True,low,False,False,low
171,158848,False,high,high,low,low,False,True,low,low,high,low,False,False,low,False,False,low
172,162037,True,high,low,low,low,False,True,low,high,high,low,False,True,high,False,False,low
173,163365,False,high,high,low,low,False,False,high,low,low,high,False,False,high,False,False,low
174,163584,False,high,low,low,low,False,True,low,low,high,low,False,True,high,False,False,low
175,163585,False,high,low,low,low,False,True,low,low,high,low,False,True,high,False,False,low
176,163586,False,high,low,low,low,False,True,low,low,high,low,False,True,high,False,False,low
177,163609,False,high,high,low,low,False,False,high,low,low,high,False,False,high,False,False,low
178,165523,False,high,high,low,low,False,True,high,low,high,high,True,True,low,False,False,low
179,166487,False,high,low,low,low,False,True,high,low,high,low,True,True,low,False,False,low
180,167917,False,low,low,low,low,False,True,high,low,high,low,True,False,low,False,False,low
181,169342,False,low,high,low,low,False,False,low,low,high,low,False,False,low,False,False,low
182,169607,False,low,high,low,low,False,False,low,low,high,low,False,False,low,False,False,low
183,169613,False,high,high,low,low,False,True,high,low,high,low,False,True,low,False,False,low
184,169741,False,high,low,low,low,False,True,low,low,high,high,False,False,high,False,False,low
185,170613,False,high,low,low,low,False,False,low,low,high,low,False,False,low,False,False,low
186,171788,False,high,low,low,low,False,True,low,high,high,low,False,True,high,False,False,low
187,173756,False,high,low,low,low,False,True,high,low,high,low,False,True,low,False,False,low
188,174021,False,high,high,low,low,False,True,low,low,high,low,False,True,low,False,False,low
189,174539,False,low,high,low,high,False,True,high,low,high,low,False,True,low,False,False,low
190,174721,False,high,high,low,low,False,True,low,low,high,low,False,True,low,False,False,low
191,175513,False,low,low,low,low,False,True,low,low,high,low,False,False,low,False,False,low
192,176736,False,high,low,high,low,False,True,low,low,high,low,False,True,low,False,False,low
193,177246,False,low,low,low,low,False,True,low,low,high,low,False,True,low,False,False,low
194,177505,False,low,low,low,low,False,False,low,low,high,low,False,False,low,False,False,low
195,180494,False,high,high,low,low,False,True,high,low,high,low,False,True,low,False,False,low
196,181148,False,low,high,low,low,False,True,low,low,high,low,False,True,high,False,False,low
197,184914,False,high,low,low,low,False,True,low,low,high,low,False,True,low,False,False,low
198,185233,False,high,high,low,low,True,False,low,low,low,low,False,False,low,False,False,low
199,185852,False,high,high,low,low,False,True,low,low,high,low,False,True,low,False,False,low
200,186253,False,high,low,low,high,False,False,low,low,high,low,False,False,low,False,False,low
201,186981,False,high,low,low,low,False,True,high,low,high,low,False,True,low,False,False,low
202,187130,False,low,low,low,low,False,True,low,low,high,low,True,False,low,False,False,low
203,187881,False,high,low,low,high,False,True,low,low,high,low,False,False,low,False,False,low
204,188205,False,high,low,low,high,False,True,low,low,high,low,False,False,low,False,False,low
205,188505,False,high,high,low,low,False,False,low,low,high,low,False,False,high,False,False,low
206,189944,False,high,low,low,low,False,True,high,high,high,low,False,False,low,False,False,low
207,189945,False,high,low,low,low,False,True,high,high,high,low,False,False,low,False,False,low
208,190731,False,high,low,low,low,False,True,low,low,high,low,True,False,low,False,False,low
209,191175,False,high,low,low,low,False,False,low,low,low,low,False,False,low,False,False,low
210,192190,False,high,high,low,low,False,True,high,low,high,low,False,False,high,False,False,low
211,192280,False,high,high,low,low,False,True,high,low,high,low,False,False,high,False,False,low
212,192555,False,high,low,low,low,False,False,high,high,high,low,False,True,low,False,False,low
213,192556,False,high,low,low,low,False,False,high,high,high,low,False,True,low,False,False,low
214,195077,False,low,high,low,low,False,False,low,low,high,low,False,False,low,False,False,high
215,195102,False,high,high,low,low,True,True,low,low,high,low,True,False,low,False,False,high
216,196905,False,high,low,low,low,False,False,low,low,high,low,False,False,low,False,False,low
217,197008,False,high,high,low,low,False,False,low,low,high,low,False,False,low,False,False,low
218,198198,False,high,low,low,low,False,False,low,low,high,low,False,False,low,False,False,low
219,198846,False,high,low,high,low,False,True,low,low,high,low,False,True,high,False,False,low
220,199834,False,high,high,low,high,False,True,low,low,low,low,False,False,low,False,False,low
221,200074,False,high,high,low,high,False,True,low,low,low,low,False,False,low,False,False,low
222,200504,False,high,low,low,low,False,True,low,low,high,low,False,True,low,False,False,low
223,203121,False,high,high,low,low,False,True,high,low,high,low,False,True,low,False,False,low
224,203238,False,high,high,high,high,False,True,high,low,high,high,False,False,low,False,False,low
225,204574,False,high,high,low,low,True,False,low,low,high,low,False,False,low,False,False,low
226,204770,False,high,low,low,low,False,True,low,low,low,low,False,False,low,False,False,low
227,206260,False,high,high,low,high,False,True,high,low,high,low,False,False,low,False,False,low
228,206261,False,high,high,low,high,False,True,high,low,high,low,False,False,low,False,False,low
