,nb_id,longer_beginning,longer_ending,has_author,has_equation,jupyter_prop,output_cell_prop,markdown_prop,num_contrib,image_prop,is_education,has_links,has_comments,md_frequency,has_title,num_commits,md_format,non_exec_prop,exec_inorder,exec_skips,has_error,has_export,num_functions,has_test,num_headers,has_param,num_stars
75,42835,True,True,False,True,high,low,high,low,low,True,True,True,high,False,low,True,low,high,low,False,True,high,False,high,False,low
76,42995,True,False,False,False,high,high,low,low,low,False,False,True,high,True,low,False,low,high,low,False,True,low,False,low,False,low
77,43420,True,True,False,False,high,high,high,low,low,True,True,True,high,True,low,True,low,high,low,False,False,low,False,high,False,low
78,43421,True,True,False,False,high,high,high,low,low,True,True,True,high,True,low,True,low,high,low,False,False,low,False,high,False,low
79,44257,True,False,False,True,high,high,low,low,high,True,False,False,high,False,low,False,low,high,low,False,False,high,False,low,False,low
80,45264,False,False,False,False,high,low,low,low,low,False,False,True,low,False,low,False,low,high,high,False,False,low,False,low,False,low
81,46738,False,True,False,False,high,high,low,low,high,False,False,True,high,True,low,False,low,high,low,False,False,low,False,low,False,low
82,46739,False,True,False,False,high,high,low,low,high,False,False,True,high,True,low,False,low,high,low,False,False,low,False,low,False,low
83,47547,False,False,False,False,high,low,low,low,low,True,False,True,high,False,low,False,high,high,low,False,False,low,False,low,False,low
84,48030,False,False,False,False,high,low,low,low,low,False,True,True,low,True,low,False,low,high,low,False,False,low,False,low,False,low
85,48703,True,False,False,False,high,high,low,low,low,False,False,True,high,True,low,False,low,high,low,False,False,low,False,low,False,low
86,49090,False,False,False,False,high,high,low,low,low,False,False,True,low,False,low,False,low,high,high,False,False,low,False,low,False,low
87,49269,True,False,False,False,high,low,high,low,low,True,False,False,low,False,low,True,low,high,low,False,True,low,False,low,False,low
88,49292,True,False,False,False,high,low,low,low,low,True,True,True,low,False,high,True,high,high,low,False,True,low,False,low,False,high
89,49956,False,False,False,False,high,high,low,low,low,True,False,False,low,False,low,False,low,high,low,True,False,low,False,low,False,low
