------------- CLUSTER 1 -------------------
     nb_id    repo_id                                                    nb_name                                         repo_name                                                                                                       filepath  filtered                                                                                                                                         nb_path
120    120  165200582                                                        pyber_starter-checkpoint.ipynb                                   aaronzhou926/Matplotlib                                                   aaronzhou926~Matplotlib_nb/pyber_starter-checkpoint.ipynb     False                                                                Pyber/.ipynb_checkpoints/pyber_starter-checkpoint.ipynb
126    126  165196460                                                     numpy-array-index-operation.ipynb               KivenLing/Basic-Machine-Learning-Algorithms                            KivenLing~Basic-Machine-Learning-Algorithms_nb/numpy-array-index-operation.ipynb     False                                                                  basic-use/numpy-use/numpy-array-index-operation.ipynb
142    142  165198342                                                                 DataExploration.ipynb                      MelissieP/animal-adoption-prediction                                               MelissieP~animal-adoption-prediction_nb/DataExploration.ipynb     False                                                                                                  DataExploration.ipynb
146    146  165198613                                                                          Basics.ipynb                                          jaymzhu/fandango                                                                            jaymzhu~fandango_nb/Basics.ipynb     False                                                                                                           Basics.ipynb
148    148  165202414                                                  Frequency table and chi-square.ipynb             RanjithRShetty/Frequency-table-and-chi-square                       RanjithRShetty~Frequency-table-and-chi-square_nb/Frequency table and chi-square.ipynb     False                                                                                   Frequency table and chi-square.ipynb
151    151  165198126  Homework_04-Pandas_Instructions_PyCitySchools_PyCitySchools_starter-checkpoint.ipynb                                          mmusa2004/Pandas    mmusa2004~Pandas_nb/Homework_04-Pandas_Instructions_PyCitySchools_PyCitySchools_starter-checkpoint.ipynb     False  PyCitySchools/.ipynb_checkpoints/Homework_04-Pandas_Instructions_PyCitySchools_PyCitySchools_starter-checkpoint.ipynb
160    160  165197159                                                                      Statistics.ipynb                                     PrabhakaraBG23/Python                                                                   PrabhakaraBG23~Python_nb/Statistics.ipynb     False                                                                                                       Statistics.ipynb
166    166  165197278                                                            Dog_breed_prediction.ipynb                            mahir1995/dog-breed-prediction                                                mahir1995~dog-breed-prediction_nb/Dog_breed_prediction.ipynb     False                                                                                             Dog_breed_prediction.ipynb
247    247  165211868                                       vsb_spectrogram_sz600_cmap_tests_20190124.ipynb                   adriangrepo/partial_discharge_detection                  adriangrepo~partial_discharge_detection_nb/vsb_spectrogram_sz600_cmap_tests_20190124.ipynb     False                                                                     dl/vsb_spectrogram_sz600_cmap_tests_20190124.ipynb
278    278  165204691                                                      Part 8 - Transfer Learning.ipynb                                     nmtruong93/DL_PyTorch                                                   nmtruong93~DL_PyTorch_nb/Part 8 - Transfer Learning.ipynb     False                                                                                       Part 8 - Transfer Learning.ipynb
287    287  165205913                                                        Stacking  - Hans Rosling.ipynb                          steffmul/SpicedAcademy_Exercises                                          steffmul~SpicedAcademy_Exercises_nb/Stacking  - Hans Rosling.ipynb     False                                                                                         Stacking  - Hans Rosling.ipynb
376    376  165207372                                                       Convolutional_Autoencoder.ipynb                                 artcoderj/coding_practice                                                artcoderj~coding_practice_nb/Convolutional_Autoencoder.ipynb     False                                                                              ai_visual/Convolutional_Autoencoder.ipynb
