------------- CLUSTER 1 ------------------- tutorials?
489    489  165208259                                           housing-prices-competition-checkpoint.ipynb                                  Joash-JW/kaggle                                            Joash-JW~kaggle_nb/housing-prices-competition-checkpoint.ipynb     False                              Housing Prices Competition/.ipynb_checkpoints/housing-prices-competition-checkpoint.ipynb
512    512  165215476                                                 ML0101EN-Proj-Loan-answer-py-v1.ipynb                  Catlily/CourseraCapstoneProject                                  Catlily~CourseraCapstoneProject_nb/ML0101EN-Proj-Loan-answer-py-v1.ipynb     False                                                                                  ML0101EN-Proj-Loan-answer-py-v1.ipynb
525    525  165221517                                                                      class work.ipynb                          vincajayi/Vincent-Ajayi                                                               vincajayi~Vincent-Ajayi_nb/class work.ipynb     False                                                                                                       class work.ipynb
526    526  165218040                                                               pandas-checkpoint.ipynb                                     alalachin/TA                                                                   alalachin~TA_nb/pandas-checkpoint.ipynb     False                                                                             .ipynb_checkpoints/pandas-checkpoint.ipynb
539    539  165218946                                                 CNN_without_batch_normalization.ipynb                             anandaman43/training                                             anandaman43~training_nb/CNN_without_batch_normalization.ipynb     False                                                                     assignment_2/CNN_without_batch_normalization.ipynb
545    545  165220518                                                              Python Essential 1.ipynb                              sumanpaul79/Epython                                                           sumanpaul79~Epython_nb/Python Essential 1.ipynb     False                                                                                               Python Essential 1.ipynb
559    559  165213748                                                       Advanced Features - Lab 3.ipynb                        odundar/openvino_workshop                                              odundar~openvino_workshop_nb/Advanced Features - Lab 3.ipynb     False                                                                                        Advanced Features - Lab 3.ipynb
------------- CLUSTER 3 ------------------- production?
      nb_id    repo_id                                                    nb_name                                                               repo_name                                                                                                       filepath  filtered                                                                                                                                         nb_path
123     123  165202476                                        protein_atlas.ipynb                                 RomRoc/kaggle_proteinatlas_fastai_colab                                                 RomRoc~kaggle_proteinatlas_fastai_colab_nb/protein_atlas.ipynb     False                                                                                                                             protein_atlas.ipynb
429     429  165205681  Planar+data+classification+with+one+hidden+layer+v5.ipynb                        vincentgigliobianco/Deep_learning_MOOC_notebooks  vincentgigliobianco~Deep_learning_MOOC_notebooks_nb/Planar+data+classification+with+one+hidden+layer+v5.ipynb     False  Neural_Networks_and_Deep_Learning_3/Planar_data_classification_with_one_hidden_layer/Planar+data+classification+with+one+hidden+layer+v5.ipynb
475     475  165211401                                               to_csv.ipynb                                              joejnke/sorting_algorithms                                                                     joejnke~sorting_algorithms_nb/to_csv.ipynb     False                                                                                                                                    to_csv.ipynb
546     546  165221515                                   Python Essential 2.ipynb                                               samirmullaskype/Python-E1                                                          samirmullaskype~Python-E1_nb/Python Essential 2.ipynb     False                                                                                                                        Python Essential 2.ipynb
604     604  165214064                                              chatbot.ipynb                                            emmapraise/chatbot-RNN-DNLP-                                                                  emmapraise~chatbot-RNN-DNLP-_nb/chatbot.ipynb     False                                                                                                                                   chatbot.ipynb
617     617  165219518                                               models.ipynb                                         alvarogonjim/Skin-Cancer-DL-TFG                                                                alvarogonjim~Skin-Cancer-DL-TFG_nb/models.ipynb     False                                                                                                                      server/models/models.ipynb
619     619  165220711                                   Python Essential 2.ipynb                                                      CollinsEze/CPython                                                                 CollinsEze~CPython_nb/Python Essential 2.ipynb     False                                                                                                                        Python Essential 2.ipynb
631     631  165223817                                                 main.ipynb                                  BenjaminPoilve/Typewriter-Optimisation                                                           BenjaminPoilve~Typewriter-Optimisation_nb/main.ipynb     False                                                                                                                                      main.ipynb
677     677  165226899                                Siamese_MNIST_dataset.ipynb  SaiVineethKalluruSrinivas/Saimese-Neural-Network-for-one-shot-learning          SaiVineethKalluruSrinivas~Saimese-Neural-Network-for-one-shot-learning_nb/Siamese_MNIST_dataset.ipynb     False                                                                                                                     Siamese_MNIST_dataset.ipynb
722     722  165221892                           OptimizatonForDeepNetworks.ipynb                                           AaronWard/microsoft-AI-course                                              AaronWard~microsoft-AI-course_nb/OptimizatonForDeepNetworks.ipynb     False                                                                              2-deep-learning-explained/Module5/OptimizatonForDeepNetworks.ipynb
754     754  165232015                                     FB_featurization.ipynb       MaharshiYeluri01/FaceBook_Friennd_Recommendation_UsingGraphMining                    MaharshiYeluri01~FaceBook_Friennd_Recommendation_UsingGraphMining_nb/FB_featurization.ipynb     False                                                                                                                          FB_featurization.ipynb
1183   1183  165231369                            01NeuralNetworkStepByStep.ipynb                                                  spectralLight/MLBasics                                                      spectralLight~MLBasics_nb/01NeuralNetworkStepByStep.ipynb     False                                                        DeepLearning/01_SimpleNeuralNetForMnistNumberRecognition/01NeuralNetworkStepByStep.ipynb
1279   1279  165237778                                MAB2-Copy1-checkpoint.ipynb                                                     icmlanonymous/CyMAB                                                             icmlanonymous~CyMAB_nb/MAB2-Copy1-checkpoint.ipynb     False                                                                                            extra/.ipynb_checkpoints/MAB2-Copy1-checkpoint.ipynb
1356   1356  165243155                                  poketmon_regression.ipynb                                       pre17junyoung/Poketmon_regression                                                 pre17junyoung~Poketmon_regression_nb/poketmon_regression.ipynb     False                                                                                                                       poketmon_regression.ipynb
1608   1608  165251868                                 Sentinelhub_notebook.ipynb                           Ssvenkerud/Fast.AI_Geo_Detection_of_Buildings                                    Ssvenkerud~Fast.AI_Geo_Detection_of_Buildings_nb/Sentinelhub_notebook.ipynb     False                                                                                               notebooks/experimental/Sentinelhub_notebook.ipynb
1925   1925  165263234                                  P1-JamesWilliamDunn.ipynb                                         jwdunn1/CarND-LaneLines-Project                                                   jwdunn1~CarND-LaneLines-Project_nb/P1-JamesWilliamDunn.ipynb     False                                                                                                                       P1-JamesWilliamDunn.ipynb
1931   1931  165268390                      20NewsgroupsCiphertextChallenge.ipynb             MaharshiYeluri01/20-Newsgroups-Ciphertext-Kaggke-Challenge-           MaharshiYeluri01~20-Newsgroups-Ciphertext-Kaggke-Challenge-_nb/20NewsgroupsCiphertextChallenge.ipynb     False                                                                                                           20NewsgroupsCiphertextChallenge.ipynb
2407   2407  165282295                                          model_train.ipynb                                  xjtuyanshi/CarND-Behavioral-Cloning-P3                                                    xjtuyanshi~CarND-Behavioral-Cloning-P3_nb/model_train.ipynb     False                                                                                                                               model_train.ipynb
2584   2584  165295344                                          POS_tagging.ipynb                                                      afmdnf/pos-tagging                                                                        afmdnf~pos-tagging_nb/POS_tagging.ipynb     False                                                                                                                               POS_tagging.ipynb
2625   2625  165305967                           Binary_Logistic_Regression.ipynb                                            sthalles/logistic-regression                                               sthalles~logistic-regression_nb/Binary_Logistic_Regression.ipynb     False                                                                                                                Binary_Logistic_Regression.ipynb
------------- CLUSTER 4 -------------------
      nb_id    repo_id                                        nb_name                                                                       repo_name                                                                                             filepath  filtered                                                     nb_path
