,nb_id,repo_id,has_author,jupyter_prop,output_cell_prop,num_contrib,image_prop,is_education,has_comments,num_commits,non_exec_prop,exec_inorder,exec_skips,has_error,has_export,num_functions,has_test,has_param,has_reqtext,num_stars,cluster,cluster_dist
71394,75168,170585731,False,0.8303100163805133,0.5,1.0,0.2,False,True,3.0,0.0,1.0,1.0,True,True,0.0,False,False,False,3.0,1,64.66808840360093
71398,75172,170584966,True,0.8745524232185183,0.43333333333333335,1.0,0.38461538461538464,False,True,1.0,0.03333333333333333,0.875,7.208333333333332,False,True,2.0,False,False,False,3.0,1,64.66808840360093
71400,75175,170592428,True,1.0,0.0,1.0,0.0,True,True,2.0,0.9772727272727272,1.0,0.0,False,False,7.0,False,False,False,2.0,2,6.48275136851117
71403,75178,170559647,False,0.9877538859841832,0.5357142857142857,1.0,0.3333333333333333,True,True,2.0,0.0,1.0,1.037037037037037,False,False,33.0,False,False,False,2.0,3,395.2730464667604
71451,75228,170566797,False,1.0,0.5952380952380952,1.0,0.04,True,True,4.0,0.0,0.9736842105263158,2.473684210526316,False,False,0.0,False,False,False,2.0,2,6.48275136851117
71476,75254,170569284,False,0.960086564244654,0.3333333333333333,1.0,0.5,False,True,1.0,0.0,1.0,1.0,False,True,0.0,False,False,False,1.0,1,64.66808840360093
71479,75257,170574351,False,0.9987946245753552,0.8461538461538461,1.0,0.3636363636363637,True,True,1.0,0.0,0.9166666666666666,2.25,False,False,9.0,False,False,False,1.0,2,6.48275136851117
71480,75258,170580367,False,0.9992556102569888,0.7777777777777778,1.0,0.42857142857142855,False,True,1.0,0.0,1.0,1.8125,False,True,1.0,False,False,False,1.0,1,64.66808840360093
71512,75291,170583015,False,1.0,0.5294117647058824,1.0,0.1111111111111111,False,True,1.0,0.4705882352941176,1.0,1.807692307692308,False,False,6.0,False,False,False,1.0,1,64.66808840360093
71523,75302,170556528,False,1.0,0.625,1.0,0.2,False,True,1.0,0.125,0.8333333333333334,42.16666666666666,False,False,0.0,False,False,False,1.0,4,493.3523385561624
71528,75307,170556166,False,0.991241133916158,0.21212121212121213,1.0,0.14285714285714285,False,False,1.0,0.015151515151515154,0.9375,14.734375,False,True,5.0,False,False,False,2.0,4,493.3523385561624
71533,75312,170593355,False,1.0,0.6666666666666666,1.0,0.5,False,False,1.0,0.0,0.875,6.0,False,False,0.0,False,False,False,1.0,1,64.66808840360093
71535,75314,170576048,False,0.9907754945371297,0.3,1.0,0.3333333333333333,True,True,4.0,0.0,1.0,1.1111111111111112,False,True,10.0,False,False,False,1.0,2,6.48275136851117
71560,75340,170615181,False,0.9553909830151268,0.904,1.0,0.0,True,True,1.0,0.0,0.9919354838709676,1.2741935483870968,True,False,17.0,False,False,False,8.0,3,395.2730464667604
71575,75362,170604189,False,1.0,0.7857142857142857,4.0,0.7272727272727273,False,True,1.0,0.0,0.8333333333333334,9.583333333333334,False,False,0.0,False,False,False,7.0,1,64.66808840360093
71584,75371,170613771,False,1.0,0.6666666666666666,1.0,0.3333333333333333,False,True,1.0,1.0,1.0,0.0,False,False,1.0,False,False,False,6.0,1,64.66808840360093
71588,75375,170626966,True,0.9278534505876588,0.43478260869565216,1.0,0.0,True,True,1.0,0.0,1.0,1.380952380952381,False,True,4.0,False,False,False,3.0,2,6.48275136851117
71592,75379,170625091,False,1.0,0.5,1.0,0.0,False,True,1.0,0.0,0.875,13.875,True,False,7.0,False,False,False,3.0,4,493.3523385561624
71610,75400,170625470,False,1.0,0.6428571428571429,1.0,0.2222222222222222,False,True,3.0,0.0,1.0,1.0,False,False,8.0,False,False,False,3.0,1,64.66808840360093
71616,75407,170616280,False,0.9675784752243308,0.1111111111111111,1.0,1.0,True,True,3.0,0.0,1.0,1.0,False,False,1.0,False,False,False,2.0,2,6.48275136851117
71617,75408,170611289,False,0.8883614627285513,0.4444444444444444,1.0,0.25,False,True,1.0,0.0,0.75,1.75,False,False,4.0,False,True,False,2.0,1,64.66808840360093
71618,75409,170617286,False,1.0,0.75,1.0,0.6666666666666666,True,True,1.0,0.0,1.0,1.0,False,False,1.0,False,False,False,2.0,2,6.48275136851117
71637,75431,170627675,False,1.0,0.8,1.0,0.8928571428571429,True,False,1.0,0.0,1.0,6.454545454545454,False,True,1.0,False,False,False,2.0,2,6.48275136851117
71639,75433,170614770,False,1.0,0.6666666666666666,1.0,0.25,False,True,1.0,0.0,1.0,12.363636363636365,False,False,8.0,False,False,False,2.0,1,64.66808840360093
71640,75434,170604948,False,1.0,0.4705882352941176,1.0,0.25,True,True,4.0,0.0,1.0,1.0,False,False,0.0,False,False,False,2.0,2,6.48275136851117
71662,75459,170608446,False,0.9982583722579896,0.5853658536585366,3.0,0.3333333333333333,True,True,3.0,0.0,0.975,2.575,False,True,1.0,False,False,False,1.0,2,6.48275136851117
71679,75476,170633501,False,0.995539281044655,0.6923076923076923,2.0,0.2222222222222222,False,True,1.0,0.0,0.8,10.9,False,False,0.0,False,False,False,1.0,1,64.66808840360093
71681,75479,170635547,False,1.0,0.6785714285714286,1.0,0.6842105263157895,True,True,1.0,0.0,0.925925925925926,4.62962962962963,False,True,2.0,False,False,False,1.0,2,6.48275136851117
71682,75480,170627489,False,1.0,0.6470588235294118,1.0,0.2272727272727273,False,True,1.0,0.0,0.6666666666666666,20.96969696969697,False,False,0.0,False,False,False,1.0,4,493.3523385561624
71702,75500,170639066,False,1.0,0.4375,1.0,0.028571428571428567,True,True,6.0,0.21875,0.8050847457627118,17.69491525423729,False,True,20.0,False,False,False,8.0,3,395.2730464667604
71706,75504,170675674,False,0.9624572494559022,0.5121951219512195,6.0,0.0,False,True,1.0,0.024390243902439025,0.9743589743589745,11.435897435897436,False,True,5.0,False,False,False,6.0,1,64.66808840360093
