,nb_id,repo_id,has_author,jupyter_prop,output_cell_prop,num_contrib,image_prop,is_education,has_comments,num_commits,non_exec_prop,exec_inorder,exec_skips,has_error,has_export,num_functions,has_test,has_param,has_reqtext,num_stars
53505,56494,168309470,False,0.9990251472082176,0.9009900990099008,1.0,0.03296703296703297,True,True,1.0,0.0,1.0,1.0,False,False,0.0,False,False,False,5.0
53510,56499,168311079,False,0.9879363418193564,0.3043478260869565,1.0,0.42857142857142855,False,True,1.0,0.0,1.0,1.0625,False,True,2.0,False,False,False,2.0
53515,56504,168309849,False,1.0,0.43478260869565216,1.0,0.8,False,True,1.0,0.08695652173913042,0.8333333333333334,13.5,True,False,10.0,False,False,False,2.0
53516,56505,168307824,False,1.0,0.4,1.0,0.0,True,True,1.0,0.1,1.0,1.0,False,False,0.0,False,False,False,2.0
53538,56527,168310518,False,0.9998213907667856,0.8260869565217391,1.0,0.4736842105263158,False,True,5.0,0.0,0.8571428571428571,6.238095238095237,False,False,0.0,False,False,False,1.0
53570,56560,168304647,False,1.0,0.9230769230769232,1.0,0.0,True,True,1.0,0.0,0.7843137254901961,7.352941176470589,False,False,4.0,False,False,False,1.0
53616,56606,168310982,False,1.0,0.4078947368421053,1.0,0.3870967741935484,False,True,1.0,0.013157894736842105,0.9166666666666666,11.729166666666664,True,True,0.0,False,False,False,0.0
53625,56616,168304453,False,1.0,0.5,1.0,0.05555555555555555,False,True,1.0,0.0,0.7878787878787878,6.1818181818181825,True,True,4.0,False,False,False,0.0
53636,56628,168304069,False,1.0,0.3666666666666665,1.0,0.2727272727272727,False,True,1.0,0.0,1.0,6.074074074074074,False,False,0.0,False,False,False,0.0
53642,56634,168308580,False,1.0,0.8,1.0,0.022727272727272728,False,True,1.0,0.18181818181818185,0.9302325581395348,4.72093023255814,False,False,2.0,False,False,False,0.0
53647,56639,168303127,False,1.0,0.6923076923076923,2.0,0.2222222222222222,False,True,2.0,0.0,1.0,1.0,False,True,0.0,False,False,False,0.0
