,nb_id,repo_id,has_author,jupyter_prop,output_cell_prop,num_contrib,image_prop,is_education,has_comments,num_commits,non_exec_prop,exec_inorder,exec_skips,has_error,has_export,num_functions,has_test,has_param,has_reqtext,num_stars,cluster,cluster_dist
44337,46878,167905387,True,0.6666666666666666,0.5982905982905984,0.6666666666666666,0.5576923076923077,True,True,0.6666666666666666,0.5,0.6642335766423357,0.8091286307053942,False,True,0.5,False,False,False,0.6666666666666666,3,0.08129710848133462
44350,46891,167902251,False,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.6363636363636364,True,False,0.6666666666666666,0.5,0.6666666666666666,0.7619047619047619,False,True,0.6666666666666666,False,False,False,0.5,2,0.09168566143514584
44358,46899,167903971,False,0.6666666666666666,0.5384615384615384,0.6666666666666666,0.5,False,True,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,False,False,0.8,False,False,False,0.5,1,0.03877971698209992
44365,46907,167904181,False,0.6666666666666666,0.6451612903225807,0.6666666666666666,0.625,True,True,0.6666666666666666,0.5,0.6538461538461539,0.7272727272727273,False,True,0.5,False,False,False,0.5,3,0.08129710848133462
44366,46908,167904157,False,0.6666666666666666,0.625,0.75,0.6153846153846154,True,True,0.75,0.5,0.65,0.9635416666666666,False,False,0.8999999999999999,False,False,False,0.5,1,0.03877971698209992
44388,46931,167905871,False,0.6666666666666666,0.5319148936170213,0.6666666666666666,0.5,False,True,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,False,True,0.8571428571428571,False,False,False,0.5,2,0.09168566143514584
44392,46935,167903327,False,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.5555555555555556,True,True,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.75,False,True,0.9642857142857143,False,False,False,0.5,2,0.09168566143514584
44394,46937,167901652,False,0.6666666666666666,0.5,0.6666666666666666,0.5,True,True,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,False,True,0.8571428571428571,False,False,False,0.5,4,0.1362640608953408
44396,46939,167905785,False,0.6665758359504896,0.6666666666666666,0.75,0.6000000000000001,False,True,0.75,0.5,0.6666666666666666,0.6857142857142857,False,False,0.5,False,False,False,0.5,3,0.08129710848133462
44398,46941,167904561,False,0.6666666666666666,0.6176470588235294,0.6666666666666666,0.5294117647058824,True,True,0.6666666666666666,0.5,0.65625,0.8842105263157894,False,False,0.6666666666666666,False,False,False,0.5,3,0.08129710848133462
44400,46943,167905196,False,0.6666666666666666,0.5853658536585366,0.6666666666666666,0.5625,True,True,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,False,True,0.5,False,False,False,0.5,3,0.08129710848133462
44406,46953,167906073,False,0.6609782798240685,0.5483870967741935,0.6666666666666666,0.5,True,True,0.75,0.641025641025641,0.6666666666666666,0.875,True,False,0.8999999999999999,False,False,False,0.5,1,0.03877971698209992
44409,46956,167906154,False,0.6666666666666666,0.6428571428571428,0.5,0.5,False,True,0.6666666666666666,0.5238095238095238,0.6666666666666666,0.7241379310344828,False,True,0.6666666666666666,False,False,False,0.5,2,0.09168566143514584
44411,46958,167906831,False,0.660437734889208,0.5,0.6666666666666666,0.5,True,True,0.6666666666666666,0.6627906976744187,0.6666666666666666,0.5,False,False,0.9714285714285715,False,False,False,0.5,4,0.1362640608953408
44430,46977,167904313,False,0.6666666666666666,0.6315789473684211,0.6666666666666666,0.6031746031746031,True,True,0.5,0.5,0.6632653061224489,0.777027027027027,False,False,0.8999999999999999,True,False,False,0.5,1,0.03877971698209992
44433,46980,167913249,False,0.653313293639324,0.5,0.75,0.5,False,True,0.875,0.6666666666666666,0.6666666666666666,0.5,False,False,0.5,False,False,False,0.9333333333333333,4,0.1362640608953408
44437,46984,167910908,False,0.6666666666666666,0.6222222222222222,0.6666666666666666,0.639344262295082,True,True,0.75,0.5526315789473684,0.6557377049180328,0.9347826086956522,False,False,0.6666666666666666,False,False,False,0.75,3,0.08129710848133462
44444,46991,167910144,False,0.6651990330131166,0.5,0.6666666666666666,0.5,True,True,0.6666666666666666,0.6575342465753424,0.6666666666666666,0.5,False,False,0.8,False,False,False,0.6666666666666666,4,0.1362640608953408
44449,46996,167909291,False,0.6666666666666666,0.6451612903225807,0.6666666666666666,0.6086956521739131,False,True,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,False,False,0.9375,False,False,False,0.5,4,0.1362640608953408
