nb_id,repo_id,num_projects,num_ds_projects,num_followers,account_age
1145274,47583155,2,1,0,6
1145705,22551349,11,1,55,10
1145930,88397625,72,15,50,6
1146827,74897953,22,9,64,6
114718,55179614,7,6,2,6
1147303,47778684,46,6,43,9
1147531,74763712,11,1,2,6
1147793,63036531,30,3,0,10
1148002,95717000,14,4,0,5
114823,45106953,15,5,4,7
1148269,94983040,39,11,48,6
114848,22551349,11,1,55,10
1148557,94983040,39,11,48,6
114876,41806912,10,3,6,8
1148956,65095968,0,0,1,3
1148957,65095968,0,0,1,3
1150230,65494128,13,1,86,11
1150394,37674194,9,3,45,8
1150396,37674194,9,3,45,8
1150397,37674194,9,3,45,8
1150586,83947009,71,7,19,6
1151012,74427346,14,10,4,5
1151747,60435970,13,7,1,7
1151820,94522055,14,2,0,7
1152388,29408527,28,2,60,9
1152998,94304084,9,5,0,4
1153251,95004508,36,19,0,5
1153261,63988248,17,3,0,7
1153326,75567150,7,3,0,5
1154158,17724475,4,0,0,7
1154353,17724475,4,0,0,7
11545,69252304,6293,438,0,6
1154507,52626322,13,2,2,6
11546,69252304,6293,438,0,6
1154882,79838418,36,4,0,9
1154976,52626322,13,2,2,6
1155303,47644193,35,7,10,6
1155304,47644193,35,7,10,6
1155632,72466386,3,1,0,5
1155688,41806912,10,3,6,8
11557,63036531,30,3,0,10
1155900,88868706,10,1,4,8
1155970,56433451,19,6,3,8
1155971,56433451,19,6,3,8
1156238,89785653,20,9,2,7
1156593,30771487,23,0,0,7
1156750,82731174,13,1,26,7
1156845,48731603,27,7,8,7
1157278,76158952,11,1,4,7
1157339,70344616,15,1,17,9
1157340,70344616,15,1,17,9
115766,39964941,7,4,1,7
1158417,95717000,14,4,0,5
1158559,70752864,86,27,4,7
1158774,8485124,14,5,897,10
1158889,37873718,6,0,2,7
1158996,37873718,6,0,2,7
1159890,43584002,86,26,320,7
1159899,41806912,10,3,6,8
115992,61073464,,,,
115995,63988248,17,3,0,7
1159968,44319376,,,,
1160066,41806912,10,3,6,8
1160295,95883737,2,1,0,6
1161108,52626322,13,2,2,6
1161567,76602490,6,2,4,8
1161910,75567150,7,3,0,5
1161955,63036531,30,3,0,10
1162268,17556124,48,0,165,10
1162323,48731603,27,7,8,7
1163838,40293216,72,46,0,7
1163952,47583155,2,1,0,6
1163983,49301083,57,12,36,6
1163984,49301083,57,12,36,6
1163985,49301083,57,12,36,6
1164387,45106953,15,5,4,7
1164597,95785364,,,,
1164696,68741949,22,2,17,6
1165060,37127904,60,0,5,7
116528,90590288,24,12,8,6
1165487,88134043,24,2,15,8
116580,95004508,36,19,0,5
1166060,59786452,6,3,4,6
1166564,70043832,6,2,2,6
1166848,77948798,,,,
1166870,76602490,6,2,4,8
116693,90590288,24,12,8,6
1167044,56820181,14,3,0,6
1167165,36365820,50,2,17,12
116722,22997582,39,4,40,10
1167271,95175467,50,23,1,9
1167318,56820181,14,3,0,6
1167538,87581196,17,3,2,10
1167814,25204651,20,0,7,9
1168033,75567150,7,3,0,5
1168766,52416266,53,6,62,7
1168855,76670855,23,4,3,9
116896,66478811,82,0,14,5
116937,41753170,26,0,4,6
116939,80116644,140,0,25,5
1169867,76670855,23,4,3,9
1170246,83947009,71,7,19,6
1170595,96592997,89,24,297,12
1170989,41806912,10,3,6,8
1171203,70344616,15,1,17,9
1171204,70344616,15,1,17,9
117169,52626322,13,2,2,6
1171840,60880099,40,18,11,6
117189,61073464,,,,
1172090,47583155,2,1,0,6
1172094,44511865,56,26,0,8
1172490,95175467,50,23,1,9
1172964,74256624,8,6,0,6
1173263,40994223,98,21,93,8
1173518,84717266,17,1,0,9
1173519,84717266,17,1,0,9
1173520,84717266,17,1,0,9
1173521,84717266,17,1,0,9
1173728,60493345,7,6,0,5
1173966,88977476,76,6,98,9
1175187,79238732,22,19,1,6
1175991,96592997,89,24,297,12
1176096,75093696,,,,
1176230,30062330,16,4,8,7
1176440,43430871,46,4,22,9
1176524,43430871,46,4,22,9
1176635,41597852,98,21,93,8
117681,64178137,19,3,2,8
117682,64178137,19,3,2,8
1176920,80882387,7,3,1,4
1177005,63446742,22,4,6,10
1177107,79238732,22,19,1,6
117714,15124520,27,4,11,8
117715,15124520,27,4,11,8
1177992,52626322,13,2,2,6
1178168,63903754,12,8,19,11
1178197,55591791,3,1,6,9
1178310,36578950,,,,
1178448,36578950,,,,
1178627,83947009,71,7,19,6
11792,74897953,22,9,64,6
1179736,58354221,8,3,0,6
1179913,83295089,17,4,2,4
1179933,63903754,12,8,19,11
1179955,83247711,41,5,36,5
1180038,47583155,2,1,0,6
1180210,34783875,209,4,42,8
1180219,47042287,13,6,0,6
1180293,95175467,50,23,1,9
1180324,70752864,86,27,4,7
1180392,39974245,37,2,0,7
1180579,74897953,22,9,64,6
1180675,74897953,22,9,64,6
1180958,36200517,1,0,0,6
1180974,41806912,10,3,6,8
1180975,41806912,10,3,6,8
1180986,70043832,6,2,2,6
1180987,70043832,6,2,2,6
1181008,42142178,2,0,0,6
1181280,42850227,10,2,1,6
1181425,36200517,1,0,0,6
1181864,8485124,14,5,897,10
1181933,80882387,7,3,1,4
118241,59383520,9,0,5,7
1182510,91499355,57,2,8,10
1182699,93597541,,,,
1182744,44319376,,,,
1182807,80882387,7,3,1,4
1182955,64255508,53,4,8,9
1182974,52626322,13,2,2,6
1183314,82731174,13,1,26,7
1183858,61159633,,,,
1183905,47967789,19,3,0,8
1184017,83256871,5,2,0,7
1184028,89015675,18,1,13,9
1184165,24891943,6,0,0,7
1184535,41806912,10,3,6,8
1184974,35895870,44,3,45,10
1185058,24004778,24,1,20,8
1185142,73413447,117,1,46,10
1185171,85932973,38,6,14,6
1185238,75567150,7,3,0,5
1185597,80038146,71,33,74,6
1185719,47644193,35,7,10,6
1185803,47644193,35,7,10,6
1186049,34647497,14,2,8,9
1186101,87832338,7,3,0,5
1186361,87708059,53,30,198,5
1186388,47583155,2,1,0,6
1186896,47778684,46,6,43,9
1187345,44319376,,,,
1187655,63663938,18,3,10,9
1187762,75567150,7,3,0,5
118781,81190104,48,5,0,5
1187948,36578950,,,,
1187990,83284123,72,1,19,10
1188262,36578950,,,,
1188303,83284123,72,1,19,10
118835,20816340,2,1,3,7
1188926,16646759,,,,
118956,80941131,8,4,0,5
1189947,61073464,,,,
1190413,76602490,6,2,4,8
1190621,76602490,6,2,4,8
1190907,74732556,4,0,0,5
1191019,56793168,54,26,253,10
1191352,56399358,27,9,8,5
1191388,33319309,50,4,19,8
119186,15124520,27,4,11,8
1191921,63450709,3,2,0,5
1192065,38320700,24,2,24,12
1192100,36365820,50,2,17,12
1192363,52626322,13,2,2,6
1192700,39974245,37,2,0,7
1193199,40163668,88,9,16,8
1194510,91130687,45,19,60,7
1194739,72849186,16,3,0,6
1195028,87271643,1,0,0,4
1195425,76602490,6,2,4,8
1195448,71140167,19,9,11,8
1195455,81791748,25,7,3,8
1195538,52626322,13,2,2,6
1195550,90595916,7,2,5,7
1196272,60880099,40,18,11,6
1196946,93618728,17,2,9,7
1197205,47778684,46,6,43,9
1197255,39964941,7,4,1,7
1197584,65584272,45,16,3,6
11976,81190104,48,5,0,5
1197620,94304084,9,5,0,4
1197634,95004508,36,19,0,5
1197694,51873666,21,4,10,6
1197726,92753656,13,6,0,8
1197769,69252304,6293,438,0,6
1197770,69252304,6293,438,0,6
1197771,69252304,6293,438,0,6
1198056,66648897,43,14,75,9
1198190,29408527,28,2,60,9
1198231,93216232,437,117,36072,10
1198343,76017756,25,3,1,6
1198379,85972539,10,1,5,8
1198564,83247711,41,5,36,5
1198770,95828432,9,4,2,6
1198771,96188406,38,9,103,8
1198822,30987788,82,12,78,9
1198848,75626605,19,4,7,6
1198868,74897953,22,9,64,6
1199080,84631944,22,0,34,5
1199106,68062775,59,14,3,6
1199603,94304084,9,5,0,4
1200297,15124520,27,4,11,8
1200727,74792506,7,2,4,10
1200828,70752864,86,27,4,7
120097,52626322,13,2,2,6
1201017,92753656,13,6,0,8
1201081,22551349,11,1,55,10
