nb_id,repo_id,err_in
1156427,52065002,api
1158651,15631524,api
1159201,34963148,api
115992,61073464,num_projects
115992,61073464,num_ds_projects
115992,61073464,num_followers
115992,61073464,account_age
1159968,44319376,num_projects
1159968,44319376,num_ds_projects
1159968,44319376,num_followers
1159968,44319376,account_age
1160249,88235665,api
1160638,50542516,api
1160967,39704412,api
1161352,72123088,api
1164491,95004508,no_code
1164597,95785364,num_projects
1164597,95785364,num_ds_projects
1164597,95785364,num_followers
1164597,95785364,account_age
1166848,77948798,num_projects
1166848,77948798,num_ds_projects
1166848,77948798,num_followers
1166848,77948798,account_age
116917,39704412,api
116918,39704412,api
1170693,72123088,api
117189,61073464,num_projects
117189,61073464,num_ds_projects
117189,61073464,num_followers
117189,61073464,account_age
1174310,12488872,no_code
1174591,22551349,no_code
1174592,22551349,no_code
1176096,75093696,num_projects
1176096,75093696,num_ds_projects
1176096,75093696,num_followers
1176096,75093696,account_age
1176283,54365278,api
1178310,36578950,num_projects
1178310,36578950,num_ds_projects
1178310,36578950,num_followers
1178310,36578950,account_age
1178448,36578950,num_projects
1178448,36578950,num_ds_projects
1178448,36578950,num_followers
1178448,36578950,account_age
1178460,39704412,api
1178580,72123088,api
1182699,93597541,num_projects
1182699,93597541,num_ds_projects
1182699,93597541,num_followers
1182699,93597541,account_age
1182744,44319376,num_projects
1182744,44319376,num_ds_projects
1182744,44319376,num_followers
1182744,44319376,account_age
1183858,61159633,num_projects
1183858,61159633,num_ds_projects
1183858,61159633,num_followers
1183858,61159633,account_age
1184074,72123088,api
1187345,44319376,num_projects
1187345,44319376,num_ds_projects
1187345,44319376,num_followers
1187345,44319376,account_age
1187948,36578950,num_projects
1187948,36578950,num_ds_projects
1187948,36578950,num_followers
1187948,36578950,account_age
1187961,96592997,no_code
1188154,96188406,no_code
1188262,36578950,num_projects
1188262,36578950,num_ds_projects
1188262,36578950,num_followers
1188262,36578950,account_age
1188926,16646759,num_projects
1188926,16646759,num_ds_projects
1188926,16646759,num_followers
1188926,16646759,account_age
1189189,29408527,no_code
1189947,61073464,num_projects
1189947,61073464,num_ds_projects
1189947,61073464,num_followers
1189947,61073464,account_age
119233,33995773,no_code
119268,79903191,api
1193662,29721163,api
1194011,72123088,api
1194310,44319376,nb_file
1195259,78300301,api
1195726,72123088,api
1198110,39704412,api
1198522,72123088,api
1198613,72123088,api
1199281,70417701,api
1199984,64496936,api
1200298,72123088,api
1200666,39704412,api
1201531,70351844,api
1201567,83615166,api
1203891,39704412,api
1203892,39704412,api
120509,61073464,num_projects
120509,61073464,num_ds_projects
120509,61073464,num_followers
120509,61073464,account_age
1205327,72123088,api
120572,68899162,num_projects
120572,68899162,num_ds_projects
120572,68899162,num_followers
120572,68899162,account_age
1209830,39704412,api
1209831,39704412,api
1209951,39704412,api
1210039,72123088,api
1210174,39704412,api
1212315,39704412,api
1212316,39704412,api
1213672,50718444,api
1216157,65024071,api
1216591,39704412,api
1216592,39704412,api
1216708,39704412,api
1216709,39704412,api
1219110,34963148,api
122177,65168334,api
1222417,72123088,api
122300,39704412,api
122301,39704412,api
1223965,72123088,api
1224169,93695354,api
1224431,93695354,api
122500,61073464,num_projects
122500,61073464,num_ds_projects
122500,61073464,num_followers
122500,61073464,account_age
1225444,72123088,api
1226543,65922591,api
1228011,55011178,nb_file
1230216,86403369,num_projects
1230216,86403369,num_ds_projects
1230216,86403369,num_followers
1230216,86403369,account_age
1230764,72123088,api
1231147,72123088,api
1231780,29998194,api
1232585,29408527,no_code
1233771,89605633,api
1235577,44319376,num_projects
1235577,44319376,num_ds_projects
1235577,44319376,num_followers
1235577,44319376,account_age
1237616,90298172,api
1237731,39704412,api
123791,39704412,api
123792,39704412,api
1240170,72123088,api
1244791,39704412,api
1244914,39704412,api
1244915,39704412,api
1245046,61073464,num_projects
1245046,61073464,num_ds_projects
1245046,61073464,num_followers
1245046,61073464,account_age
1245911,39704412,api
1246020,39704412,api
1246021,39704412,api
1246793,79652584,api
1247746,36578950,num_projects
1247746,36578950,num_ds_projects
1247746,36578950,num_followers
1247746,36578950,account_age
1247861,36578950,num_projects
1247861,36578950,num_ds_projects
1247861,36578950,num_followers
1247861,36578950,account_age
1248627,95004508,no_code
1251436,72123088,api
1252951,95785364,num_projects
1252951,95785364,num_ds_projects
1252951,95785364,num_followers
1252951,95785364,account_age
1253529,89605633,api
1255478,72123088,api
1256286,72123088,api
1256755,40293216,no_code
1259014,40293216,no_code
1259961,21912369,api
1260670,92013146,api
126709,39704412,api
126718,39704412,api
128803,39704412,api
128834,77442819,api
129962,34963148,api
13018,89605633,api
131480,93597541,num_projects
131480,93597541,num_ds_projects
131480,93597541,num_followers
131480,93597541,account_age
131888,39704412,api
132302,84223453,num_projects
132302,84223453,num_ds_projects
132302,84223453,num_followers
132302,84223453,account_age
132303,84223453,num_projects
132303,84223453,num_ds_projects
132303,84223453,num_followers
132303,84223453,account_age
132929,39704412,api
134222,39704412,api
135040,61159633,num_projects
135040,61159633,num_ds_projects
135040,61159633,num_followers
135040,61159633,account_age
13702,72123088,api
13837,39310916,api
13838,39310916,api
14235,36578950,num_projects
14235,36578950,num_ds_projects
14235,36578950,num_followers
14235,36578950,account_age
142374,72123088,api
