nb_id,repo_id,has_param,num_stars
1020535,95890486,False,0
1020713,81791748,False,0
1020714,81791748,False,0
1021518,42850227,False,0
1021605,43584002,False,10
102165,47465027,False,2
1021911,43486388,False,0
1022321,59801052,False,0
1022395,47583155,False,0
1022476,68233974,False,0
1022553,52626322,False,0
1022569,76178115,False,0
1022598,47583155,False,0
1022699,52626322,False,0
1022744,69056869,False,0
1023526,22551349,False,14
102377,93659719,False,0
1024456,94304084,False,0
102450,64178137,False,0
1024618,45655960,False,3
1024735,83947009,False,0
1024736,83947009,False,0
1024901,33995773,False,1
102532,65095968,False,0
1025582,52626322,False,0
1025639,85972539,False,0
1025896,61019926,False,0
1025899,52416266,False,1
102621,65095968,False,0
1026818,52626322,False,0
1026857,93934595,False,1
102708,74897953,False,0
1027272,37127904,False,0
1027281,83922951,False,0
1027385,24004778,False,0
1027960,70038818,False,16
1028230,81791748,False,0
1028231,81791748,False,0
1028293,40293216,False,10
1028585,77741334,False,2
1028645,25423693,False,1
1028794,93965316,False,2
102885,39704412,False,0
102886,39704412,False,0
1029039,29982328,False,5
1029262,52626322,False,0
102948,74897953,False,0
1030143,47644193,False,0
1030450,49469452,False,0
103058,52626322,False,0
1030642,41806912,False,0
1030886,90480464,False,0
1030913,93096500,False,0
1030914,93096500,False,0
1031421,71140167,False,0
103154,30734070,False,1
1032257,66453801,False,0
103234,76065931,False,0
1032561,36559244,False,0
1033143,16075144,False,1
1033279,23371881,False,1
1033448,81791748,False,0
1033449,81791748,False,0
1033754,74897953,False,0
103380,60057963,False,3
1033970,77238503,False,0
1034341,36578950,False,0
1034441,26829069,False,0
1034442,26829069,False,0
1034649,60880099,False,0
1034885,43430871,False,1
1034886,43430871,False,1
1034894,60880099,False,0
1034973,89198996,False,0
1035198,55952847,False,3
1036970,87271643,False,1
1037092,95175467,False,0
1037603,74897953,False,0
1037604,74897953,False,0
1037814,55952847,False,3
1037908,45655960,False,3
1038010,53352407,False,0
1038034,90590288,False,0
1038071,8764566,False,3
1038457,56793168,False,0
1038509,17556124,False,1
103856,79741089,False,0
1039012,70752864,False,1
10394,87641713,False,0
1039646,74256624,False,0
1040078,41806912,False,0
1040546,67945149,False,2
1040597,74897953,False,0
1040614,45655960,False,3
1040944,55179614,False,1
1041402,70752864,False,1
1041404,39964941,False,0
1041503,81219823,False,0
1041734,75567150,False,0
1042121,75626605,False,0
1042178,47525108,False,0
1042536,42681100,False,0
1042615,52472067,False,0
1042774,45106953,False,0
1042851,36365820,False,5
1042881,83230207,False,0
1043275,93292118,False,0
1043316,69252304,False,18
1043317,69252304,False,18
1044316,66478811,False,0
1044427,41753170,False,0
1044436,80116644,False,0
1044477,93965316,False,2
1044503,59383520,False,0
10448,64524127,False,1
1044926,76080814,False,0
1044927,76080814,False,0
1045048,75567150,False,0
1045597,74897953,False,0
1045889,77288553,False,0
1045941,69056869,False,0
1046128,70043832,False,2
1046257,84753687,False,0
104649,55802506,False,3
1046570,39704412,False,0
1046646,74897953,False,0
1046652,13215299,False,0
1046932,52626322,False,0
1047080,80882387,False,0
1047164,52626322,False,0
1047532,89208298,False,1
1047587,89024985,False,2
1047986,62159180,False,0
1048857,39704412,False,0
1049384,84634570,False,0
104955,22551349,False,14
1049573,74897953,False,0
1050102,17724475,False,2
1050410,66648897,False,2
1050506,52626322,False,0
1050807,52626322,False,0
1051101,79085816,False,0
1051197,42681100,False,0
105158,39704412,False,0
1052094,67824983,False,38
1052474,63036531,False,129
105306,76017756,False,0
1053100,36365820,False,5
1053367,75626605,False,0
105347,52626322,False,0
1053673,39974245,False,0
1053725,76335189,False,0
105406,63988248,False,0
1054080,36578950,False,0
1054081,36578950,False,0
1054306,80941131,False,0
1054804,44319376,False,0
1054931,43584002,False,10
1055400,47859566,False,0
1055804,47583155,False,0
1056107,72153021,False,0
1056395,90909152,False,0
1056478,83947009,False,0
1056586,79182271,False,0
1057077,59801052,False,0
1057112,75567150,False,0
1057292,74897953,False,0
105741,47778684,False,0
1057787,71765795,False,0
1058225,47644193,False,0
1058226,47644193,False,0
1058598,51168679,False,0
1058712,22551349,False,14
105886,41806912,False,0
1058978,47465027,False,2
1059097,47644193,False,0
1059151,73413447,False,0
1059402,78586348,False,0
105985,90063215,False,0
1060294,93292118,False,0
1060775,47465027,False,2
1061663,43584002,False,10
1061737,79482254,False,0
1061767,39974245,False,0
1061823,55952847,False,3
1062234,76602490,False,0
1062352,75626605,False,0
106247,80941131,False,0
1062869,47644193,False,0
1063260,89953189,False,0
1063377,90480464,False,0
1063668,90480464,False,0
1063793,38447805,False,0
1064317,52626322,False,0
1064357,86878862,False,0
1064422,84460605,False,0
1065131,44220745,False,0
1065203,17724475,False,2
1065239,44220745,False,0
1065518,68233974,False,0
1065698,40737779,True,0
1066052,90590288,False,0
1066141,40994223,False,0
1066253,74897953,False,0
106657,84241713,False,5
106658,84241713,False,5
1066746,48731603,False,0
1067150,59801052,False,0
1068477,42142178,False,0
1069487,95717000,False,0
1069495,69391174,False,0
1069528,75567150,False,0
1069615,81190104,False,0
107014,67824983,False,38
1070667,53615448,False,0
1070815,41813700,False,0
1071022,65494128,False,10
1071113,68017955,False,0
1071294,47778684,False,0
1071477,92964180,False,0
1071565,52626322,False,0
1071583,9687222,False,0
1071715,74607081,False,0
1071726,48731603,False,0
1071810,38447805,False,0
1071937,27559457,False,0
107226,33995773,False,1
1072544,89099984,False,0
1072631,45655960,False,3
1072822,85553601,True,0
1072823,85553601,True,0
1072921,66648897,False,2
1072991,49535309,False,0
1073096,49535309,False,0
1073124,95377593,False,0
1073247,95377593,False,0
1073262,69742672,False,0
1073820,42142178,False,0
1073849,82731174,False,0
1074067,42142178,False,0
1074750,17724475,False,2
1074927,72466386,False,0
1075275,93292118,False,0
1075753,37127904,False,0
1075754,37127904,False,0
1076234,54244052,False,0
107655,29422353,False,0
1076640,15321854,False,0
1076705,88536137,False,0
1077662,85152488,False,0
107772,39704412,False,0
1078706,44319376,False,0
1078737,47644193,False,0
1078898,47644193,False,0
107910,76080814,False,0
107911,76080814,False,0
107922,70043832,False,2
107923,70043832,False,2
1079605,52416266,False,1
1079910,78575409,False,0
108009,81791748,False,0
108010,81791748,False,0
1080148,59786452,False,0
1081087,85071819,False,0
1081449,52626322,False,0
1081591,93618728,False,0
1081631,55179614,False,1
1081698,52626322,False,0
1081735,93934595,False,1
1081902,42850227,False,0
1082081,74897953,False,0
1082221,75567150,False,0
1082301,74897953,False,0
108304,75626605,False,0
1083162,88134043,False,0
1083579,43584002,False,10
1083789,30062330,False,1
1083998,95256237,False,0
1084049,34647497,False,0
1084120,39974245,True,0
1084279,95256237,False,0
1084380,52626322,False,0
1085215,15124520,False,0
108557,89198996,False,0
1085836,40163668,False,0
1086553,47778684,False,0
1086664,45777799,False,0
1086912,82969914,False,0
1086913,82969914,False,0
1087282,79482254,False,0
1087482,67824983,False,38
1087640,85071819,False,0
1087641,85071819,False,0
108809,89198996,False,0
1088117,72466386,False,0
1088133,42378439,False,0
1088184,76602490,False,0
1088554,34647497,True,0
1088843,52626322,False,0
1088988,60057963,False,3
1089146,22551349,False,14
1089297,45106953,False,0
1089298,45106953,False,0
1089652,63036531,False,129
1089705,22551349,False,14
1090144,60880099,False,0
1090145,60880099,False,0
1090285,82463896,False,0
1090286,62159180,False,0
1090319,68715936,False,0
1090440,67082558,False,0
1090714,55629749,False,0
1090962,83247711,False,0
1091261,47778684,False,0
109137,84508057,False,2
1091564,95004508,False,0
1091842,84522996,False,0
1092510,88397625,False,1
109283,87641713,False,0
1092891,95883737,False,0
1093010,42681100,False,0
1093035,96928086,False,0
1093114,29408527,False,5
1093134,50748590,False,0
1093549,94522055,False,0
1094118,47583155,False,0
1094120,40293216,False,10
1094234,42681100,False,0
1094723,22551349,False,14
1094829,76602490,False,0
1094991,63450709,False,0
1095043,89208298,False,1
1095441,96383050,False,0
1095734,58728208,False,0
1095873,44220745,False,0
1096265,79741089,False,0
1096266,79741089,False,0
1096549,8485124,True,165
1096788,70752864,False,1
1097390,91462487,False,0
1097848,22997582,False,1
1098407,52626322,False,0
1098511,63036531,False,129
1098899,34647497,False,0
1098953,89438537,False,0
1099377,56424681,False,0
1099562,48731603,False,0
1099672,96188406,False,1
1099882,52626322,False,0
1100356,88397625,False,1
1100357,88397625,False,1
1100358,88397625,False,1
1100364,41753170,False,0
11007,79238732,False,0
1101596,83247711,False,0
1102038,80488185,False,0
1102172,17385430,False,0
1102736,24891943,True,1
1103011,48731603,False,0
1103373,88134043,False,0
1103535,38890132,False,0
1104062,96045704,False,0
1104376,20816340,False,0
1104565,20816340,False,0
1105156,52626322,False,0
1105221,16029331,False,6
1105560,96592997,False,1
1105588,30405906,False,0
1105671,96592997,False,1
1105759,30405906,False,0
1105805,36365820,False,5
1106073,48731603,False,0
1106256,88134043,False,0
1106322,44220745,False,0
1106558,94604184,False,0
1106654,44220745,False,0
1106655,44220745,False,0
1106803,39974245,False,0
1106886,30062330,False,1
1107267,96154046,False,0
1107626,41806912,False,0
1107822,52626322,False,0
1107929,96592997,False,1
110855,76602490,False,0
1108622,73209564,False,49
1108784,61178891,False,0
1109347,83335372,False,0
1109358,97054772,False,0
1109904,72153021,False,0
1110161,86170615,False,0
111020,85972539,False,0
1110259,39974245,False,0
1110265,95521008,False,0
111046,69742672,False,0
111047,69742672,False,0
1110584,73862485,False,0
1111006,96592997,False,1
1111198,64085111,False,24
1111546,96383050,False,0
1111944,76902624,False,0
1112023,63193884,False,0
1112464,89867523,False,0
111250,52472067,False,0
1112903,84631944,False,0
1113473,80445801,False,0
1113649,38495995,False,0
1113813,85972539,False,0
1114051,65643578,False,10
1114236,80714046,False,0
1114539,95004508,False,0
1114545,81791748,False,0
1114933,59786452,False,0
1114934,59786452,False,0
1114985,70752864,False,1
111506,44220745,False,0
1115203,59786452,False,0
1115206,89841839,False,0
1115715,74897953,False,0
1115901,71250527,False,0
1115925,74897953,False,0
1115940,41806912,False,0
