nb_id,repo_id,err_in
181253,25102541,api
183062,35095902,api
185386,85843700,api
185387,85843700,api
187637,47583155,no_code
189402,35095902,api
19145,30078602,no_code
194004,89605633,api
194712,44874909,api
194732,56998508,api
197134,72123088,api
19806,96816927,api
198183,40293216,no_code
20046,96816927,api
203046,34963148,api
203110,96816927,api
203111,96816927,api
204918,72123088,api
207735,43584002,no_code
207831,43584002,no_code
210864,50542516,api
214115,72123088,api
214437,20816340,no_code
215630,72123088,api
215755,72123088,api
215756,72123088,api
215757,72123088,api
21759,23371881,no_code
218125,70417701,api
218453,40293216,no_code
218709,46978120,api
218929,29998194,api
22365,94347743,nb_file
224065,85231321,api
226323,72123088,api
228207,29408527,no_code
229003,72123088,api
232933,95004508,no_code
240884,87649222,api
243684,44220745,no_code
24559,72123088,api
246890,72123088,api
24722,72123088,api
248253,72123088,api
248320,72123088,api
249048,50491352,api
249630,72123088,api
249724,40293216,no_code
250128,76857007,api
250129,76857007,api
250755,72123088,api
252212,85843700,api
25225,23498651,api
255777,29998194,api
255778,29998194,api
257217,68758020,no_code
257738,56424681,no_code
259343,83615166,api
260323,93282436,api
260710,93638806,api
260899,72123088,api
262273,95004508,no_code
26645,52065002,api
268368,44085683,api
268592,20816340,no_code
269800,72123088,api
270200,72123088,api
271156,72123088,api
272623,72123088,api
273178,70051607,api
27362,21695154,no_code
27363,21695154,no_code
274922,75567150,no_code
277273,89605633,api
278726,72123088,api
281280,93944162,nb_file
281870,72123088,api
282196,52065002,api
2838,93944162,nb_file
285275,70417701,api
287847,56998508,api
2880,72123088,api
2881,72123088,api
288693,95004508,no_code
291169,87649222,api
292754,72123088,api
294,33378844,nb_file
294098,46978120,api
294934,72123088,api
295252,66478811,nb_file
295328,41753170,nb_file
295335,80116644,nb_file
295388,59383520,nb_file
297039,72123088,api
29706,72123088,api
29707,72123088,api
29708,72123088,api
297331,87649222,api
297332,87649222,api
298816,72123088,api
299261,72123088,api
299375,93953657,api
299376,93953657,api
3030,72123088,api
303674,29998194,api
307700,82157744,no_code
311878,72123088,api
31325,72123088,api
313697,72123088,api
314114,72123088,api
314359,93944162,nb_file
316019,89605633,api
317123,29408527,no_code
318595,52065002,api
31958,75567150,no_code
321077,78016003,api
322345,29721163,api
322350,96816927,api
322470,96816927,api
322852,45655960,nb_file
327432,85579446,no_code
329,89953189,nb_file
329374,89605633,api
329850,72123088,api
329851,72123088,api
329885,34647497,nb_file
334395,58860442,api
334396,58860442,api
337778,29408527,no_code
341371,46978120,api
3417,72123088,api
342748,29408527,no_code
342831,70417701,api
345303,70417701,api
347570,89605633,api
348901,50542516,api
349675,29408527,no_code
350321,72123088,api
351150,58860442,api
353686,72123088,api
353770,72123088,api
35637,90853836,api
35928,72123088,api
36024,72123088,api
360560,89605633,api
361869,89605633,api
362226,46978120,api
362354,95004508,no_code
363219,72123088,api
363275,72123088,api
363276,72123088,api
364807,89605633,api
365316,78854314,api
365525,72123088,api
367716,89605633,api
372834,87649222,api
372995,87649222,api
373895,29721163,api
373963,93934595,nb_file
375115,72123088,api
376913,70051607,api
377179,78854314,api
378140,46978120,api
379582,72123088,api
379914,77442819,api
38129,72123088,api
382506,72123088,api
383340,29721163,api
383389,85231321,api
383709,63815335,api
384685,36578950,no_code
38520,58728738,no_code
385206,75567150,no_code
38546,29721163,api
385694,34963148,api
386890,85231321,api
388781,15631524,api
389358,78016003,api
394605,85379325,api
395478,90853836,api
396517,85231321,api
396879,43584002,no_code
397493,56424681,no_code
398184,72123088,api
39873,85231321,api
399751,72123088,api
399752,72123088,api
401325,72123088,api
402790,21912369,api
404409,70417701,api
405944,72123088,api
406855,72123088,api
406999,50542516,api
407114,72123088,api
407115,72123088,api
40835,90853836,api
408548,93282436,api
408840,72123088,api
409012,89605633,api
409033,72123088,api
40911,8842233,nb_file
409556,93587890,no_code
414551,72123088,api
41457,35095902,api
417363,29408527,no_code
418940,72123088,api
422075,43584002,no_code
422076,43584002,no_code
423201,20816340,no_code
42326,35095902,api
425556,56424681,no_code
428888,67269977,api
430293,70417701,api
433776,29408527,no_code
434382,46978120,api
43478,75684115,api
434785,93944162,nb_file
435848,72123088,api
436088,91951566,api
436181,40293216,no_code
438730,72123088,api
439316,46978120,api
440092,89605633,api
44491,78854314,api
44838,46978120,api
453559,47778684,nb_file
454195,72123088,api
454330,72123088,api
454331,72123088,api
454332,72123088,api
454333,72123088,api
454334,72123088,api
454335,72123088,api
454336,72123088,api
454337,72123088,api
454338,72123088,api
454778,72123088,api
45666,72123088,api
45667,72123088,api
457437,72123088,api
457759,27685708,nb_file
458650,72123088,nb_file
458719,29408527,no_code
458948,72123088,api
460433,72123088,api
460458,30078602,nb_file
461408,96816927,api
462726,72123088,api
464674,72123088,api
465252,88397625,no_code
465456,29408527,no_code
466100,72123088,api
468757,15631524,api
469269,43584002,no_code
469384,43584002,no_code
471027,89605633,api
4713,72123088,api
472342,46978120,api
473653,21912369,api
474312,72123088,api
476482,34963148,api
477906,70051607,api
484614,95004508,no_code
484676,29408527,no_code
487168,77442819,api
487319,63815335,api
48900,72123088,api
497036,72123088,api
497199,72123088,api
498813,15124520,no_code
499715,83615166,api
499964,83615166,api
500074,75567150,no_code
50017,72123088,api
