nb_id,repo_id,longer_beginning,longer_ending,has_author,has_equation,jupyter_prop,output_cell_prop,markdown_prop,num_contrib,image_prop,e_keywords,p_keywords,s_keywords,is_education,language
1209113,51233056,False,False,True,False,0.7642097621386172,0.5833333333333334,0.25,3,0.0,0,0,0,False,python
1034894,60880099,False,False,False,True,0.886924899660675,0.47619047619047616,0.43243243243243246,1,0.4,0,0,0,False,python
910396,75626605,True,False,False,False,0.9054510068055251,0.46153846153846156,0.6060606060606061,1,0.0,23,0,5,True,python
952418,82528964,True,False,False,False,1.0,0.4166666666666667,0.29411764705882354,1,0.0,0,0,1,True,python
1025896,61019926,True,False,False,False,0.988107665141508,0.7857142857142857,0.2222222222222222,1,0.09090909090909091,0,0,0,False,python
842777,36578950,True,False,,True,,0.4,0.4444444444444444,1,0.0,2,0,0,False,python
365193,90480464,False,False,False,False,1.0,0.6666666666666666,0.04,1,0.0,0,0,0,False,python
1004983,16264060,True,False,False,False,,0.5,0.3333333333333333,1,0.625,0,0,0,False,python
653243,93292118,False,False,False,False,1.0,0.32075471698113206,0.273972602739726,2,0.17647058823529413,4,0,0,True,python
773539,85071819,,,False,,1.0,0.0,0.0,2,,0,0,0,False,python
86728,68390683,False,False,False,False,1.0,0.8461538461538461,0.07142857142857142,1,0.2727272727272727,0,0,0,False,julia
1250667,38447805,True,False,False,True,,0.8333333333333334,0.7272727272727273,1,1.0,2,0,0,False,python
590465,61883811,,,False,,0.17057449235683322,0.7,0.0,1,0.14285714285714285,0,0,0,False,python
310989,68604593,,,False,,0.9997706446607255,0.3333333333333333,0.0,1,0.3333333333333333,0,0,0,False,python
1229219,81791748,,,False,,0.99792539519152,0.4,0.0,4,0.0,0,0,0,False,python
462519,74732556,True,True,False,False,0.25955566354345416,0.7083333333333334,0.46808510638297873,2,0.0,11,1,1,True,python
327993,39964941,,,False,,0.5809788849154887,0.0,0.0,1,,0,0,0,True,python
358465,83247711,True,False,False,True,1.0,0.7,0.375,1,0.2857142857142857,0,0,1,True,python
1107267,96154046,,,False,,1.0,0.5,0.0,1,0.0,0,0,0,False,python
228848,25423693,,,False,,,0.7058823529411765,0.0,1,0.3333333333333333,0,0,0,False,python
1022553,52626322,True,False,False,False,1.0,0.5,0.47368421052631576,0,0.6,0,1,1,False,python
863540,14479635,False,False,False,False,0.5542199667921704,1.0,0.3333333333333333,1,0.0,0,0,0,False,python
1234375,74256624,False,False,False,True,0.9935814002207424,0.6,0.16666666666666666,1,0.6666666666666666,0,0,0,False,python
444695,42142178,False,False,False,False,0.3657701009215924,0.7352941176470589,0.02857142857142857,2,0.0,1,0,0,False,python
983838,52626322,False,False,False,False,1.0,0.5714285714285714,0.36363636363636365,0,0.25,0,0,0,False,python
905964,80882387,False,False,False,False,1.0,0.5,0.4666666666666667,1,0.0,3,0,0,True,python
523340,80286710,True,True,False,False,0.43982355931042894,0.65,0.5121951219512195,1,0.0,8,0,1,True,python
314331,70344616,False,False,False,False,0.7941249838716614,0.0,0.8260869565217391,1,,6,0,1,False,python
401638,29982328,True,False,False,True,0.9993656120360167,0.5,0.4166666666666667,1,0.5714285714285714,0,0,5,True,python
1013074,53065713,True,False,True,False,0.9588468891890309,0.7192982456140351,0.5128205128205128,3,0.0,11,1,7,True,python
796556,52626322,False,False,False,False,1.0,0.3333333333333333,0.4230769230769231,0,0.2,0,0,0,False,python
136585,41753170,,,False,,,1.0,0.0,1,0.0,0,0,0,False,
11007,79238732,,,False,,1.0,0.2,0.0,1,0.0,0,0,0,False,python
674624,81049960,False,False,False,True,0.5270588523437075,0.3888888888888889,0.4,0,0.7142857142857143,3,0,2,True,python
132237,52626322,True,False,False,False,1.0,0.625,0.4666666666666667,0,0.6,0,0,0,False,python
446407,85071819,False,False,False,False,1.0,0.0,0.21428571428571427,2,,0,0,0,False,python
552388,50112589,False,False,False,False,0.999998935341138,0.0,0.6666666666666666,1,,0,0,0,False,python
560168,84631944,False,False,False,True,0.1377117026904265,0.5769230769230769,0.35,1,0.6,1,0,0,False,python
269216,39974245,,,False,,0.9085572112577446,0.2,0.0,1,0.5,0,0,0,False,python
1246020,39704412,False,False,False,False,,0.5,0.5294117647058824,1,1.0,0,0,0,False,python
615526,54928185,True,True,False,False,0.9336431874386404,0.5,0.6,1,0.0,1,0,0,True,python
1075754,37127904,,,False,,,0.3333333333333333,0.0,5,0.0,0,0,0,False,python
1086913,82969914,False,True,True,True,0.6070312180073438,1.0,0.8840579710144928,1,0.875,16,3,9,True,python
542369,44220745,True,True,False,False,,0.0,0.4,1,,1,0,0,True,python
323788,55179614,,,False,,0.7141299071007031,0.5384615384615384,0.0,1,0.14285714285714285,0,0,0,False,python
1247073,41753170,,,False,,,0.5,0.0,1,0.0,0,0,0,False,
976430,51079248,False,True,False,False,1.0,0.2727272727272727,0.5416666666666666,1,1.0,0,0,0,False,R
603219,78586348,False,False,False,False,1.0,0.3333333333333333,0.5,0,0.0,0,0,0,False,python
1198056,66648897,,,False,,1.0,0.25,0.0,0,0.0,0,0,0,False,python
188205,95256237,,,True,,0.9994273093872739,0.5,0.0,1,0.6666666666666666,0,0,0,False,python
1178627,83947009,False,False,False,False,1.0,0.7307692307692307,0.21212121212121213,1,0.5263157894736842,0,0,0,False,python
314330,70344616,False,False,False,False,0.7941249838716614,0.0,0.8260869565217391,1,,6,0,1,False,python
810531,22997582,False,False,False,False,,0.7777777777777778,0.47058823529411764,1,0.14285714285714285,1,0,0,False,python
852685,59513429,True,True,False,False,0.22676899560537545,0.0,0.5555555555555556,1,,1,0,0,True,python
569268,70752864,,,False,,0.8972657679171415,0.8,0.0,1,0.25,0,0,0,False,python
1014095,54361124,True,False,False,False,0.9379946324251891,0.6470588235294118,0.2916666666666667,1,0.2727272727272727,1,0,5,True,python
498989,89024985,,,False,,0.938765189103484,0.6,0.0,4,0.0,0,0,0,False,python
1182699,93597541,True,False,,True,0.9967068645640074,0.7142857142857143,0.5882352941176471,1,0.0,0,0,0,True,python
650602,27120641,True,False,False,True,0.3172227956248948,0.4666666666666667,0.4827586206896552,1,0.5714285714285714,4,0,1,False,python
988047,15124520,False,False,False,True,0.7264273142045768,0.6875,0.1111111111111111,1,0.18181818181818182,0,0,0,True,python
618248,47042287,True,False,False,False,0.9784306235791393,0.9583333333333334,0.22580645161290322,8,0.5652173913043478,0,0,0,False,python
1222,91130687,True,False,False,False,1.0,0.0,0.16129032258064516,1,,2,0,0,True,python
1001500,61883811,,,False,,0.17057449235683322,0.625,0.0,1,0.0,0,0,0,False,python
769958,42142178,False,False,False,False,0.3657701009215924,0.9583333333333334,0.38461538461538464,2,0.0,0,0,0,False,python
815440,42681100,,,False,,,0.15,0.0,1,0.6666666666666666,0,0,0,False,python
1197620,94304084,True,False,False,False,0.5339879274055835,0.6666666666666666,0.14285714285714285,1,0.0,0,0,0,False,python
