nb_id,repo_id,has_export,num_functions,has_test,num_headers,has_papermill,has_reqtext
1246020,39704412,True,3,False,9,False,False
615526,54928185,True,0,False,2,False,False
1075754,37127904,False,1,False,0,False,False
1086913,82969914,False,13,False,30,False,False
542369,44220745,False,2,False,0,False,False
323788,55179614,True,2,False,0,False,False
1247073,41753170,False,0,False,0,False,False
976430,51079248,False,0,False,1,False,False
603219,78586348,False,0,False,3,False,False
1198056,66648897,True,4,False,0,False,False
188205,95256237,False,0,False,0,False,False
1178627,83947009,False,0,False,0,False,False
314330,70344616,True,3,False,13,False,False
810531,22997582,True,1,False,2,False,False
852685,59513429,False,0,False,0,False,False
569268,70752864,False,8,False,0,False,False
1014095,54361124,False,2,False,2,False,False
498989,89024985,False,20,False,0,False,False
1182699,93597541,False,0,False,12,False,False
650602,27120641,False,5,False,4,False,False
988047,15124520,False,3,False,0,False,False
618248,47042287,False,0,False,6,False,False
1222,91130687,False,0,False,5,False,False
1001500,61883811,False,4,False,0,False,False
769958,42142178,False,18,False,14,False,False
815440,42681100,True,0,False,0,False,False
1197620,94304084,False,0,False,0,False,False
361923,71140167,False,0,False,17,False,False
740783,81700215,False,2,False,2,False,False
432922,77948798,False,2,False,27,False,False
1152388,29408527,True,0,False,22,False,False
972373,83947009,False,0,False,7,False,False
667740,79482254,False,1,False,4,False,False
480076,14750771,True,9,False,0,False,False
69898,96465207,False,0,False,0,False,False
677116,38495995,False,0,False,6,False,False
1258699,47465027,False,4,False,11,False,False
728105,93091745,False,0,False,6,False,False
947004,27120641,False,2,False,10,False,False
217347,60484758,False,6,False,6,False,False
279839,30987788,False,0,False,0,False,False
987973,45106953,False,5,False,4,False,False
1153261,63988248,False,0,False,0,False,False
894572,27627387,False,4,False,0,False,False
690511,45357664,False,0,False,0,False,False
1254364,81791748,True,1,False,0,False,False
328140,47644193,False,0,False,2,False,False
564548,41806912,False,2,False,0,False,False
918543,22551349,False,0,False,1,False,False
70955,75626605,False,1,False,0,False,False
500795,93096500,False,9,True,20,False,False
811048,74897953,False,0,False,4,False,False
481597,79671291,False,8,False,2,False,False
1046646,74897953,True,1,False,0,False,False
546559,89208298,False,11,False,20,False,False
680796,26602860,False,0,False,0,False,False
1001543,74897953,False,0,False,7,False,False
532254,92800414,False,11,False,19,False,False
619107,70752864,False,9,False,0,False,False
4659,74763712,False,3,False,0,False,False
884816,87641713,False,0,False,0,False,False
181394,36200517,False,1,False,15,False,False
625145,63446742,False,4,False,41,False,False
1082221,75567150,False,0,False,6,False,False
664758,67679495,False,0,False,4,False,False
267364,42681100,True,12,False,1,False,False
185233,75626605,False,1,False,0,False,False
364143,43486388,False,5,False,0,False,False
850124,66282949,True,14,False,29,False,False
974977,36200517,False,1,False,14,False,False
158156,55179614,True,0,False,1,False,False
741754,74208201,False,0,False,0,False,False
592239,93292118,True,18,False,16,False,False
295328,41753170,False,0,False,2,False,False
62030,52626322,False,9,False,1,False,False
1074067,42142178,True,1,False,10,False,False
848441,86170615,False,0,False,14,False,False
638214,95380726,False,5,False,4,False,False
336202,41806912,False,2,False,2,False,False
335621,75626605,False,13,False,14,False,False
188548,72426266,True,3,False,3,False,False
752375,43584002,False,1,False,0,False,False
1115940,41806912,True,0,False,4,False,False
904052,81074937,False,9,True,16,False,False
1185142,73413447,False,4,False,1,False,False
128803,39704412,True,3,False,9,False,False
1160967,39704412,False,0,False,0,False,False
952791,85238041,False,3,False,4,False,False
768848,54361124,False,2,False,22,False,False
476738,16029331,True,2,False,0,False,False
139818,41806912,False,1,False,0,False,False
893953,39964941,False,0,False,0,False,False
611962,64606807,False,0,False,22,False,False
131480,93597541,False,3,False,8,False,False
739946,71250527,True,0,False,1,False,False
950203,74897953,False,0,False,8,False,False
326572,76602490,False,4,False,0,False,False
619193,52626322,False,2,False,0,False,False
204439,15124520,False,3,False,0,False,False
233903,76602490,False,10,False,10,False,False
525579,64794951,True,1,False,0,False,False
443353,94085525,False,7,False,0,False,False
373702,36578950,False,5,False,8,False,False
331525,84108482,False,2,False,0,False,False
821899,55952847,True,0,False,5,False,False
538506,38447805,False,0,False,1,False,False
759919,95883737,False,0,False,0,False,False
344117,43584002,False,4,False,0,False,False
1087282,79482254,False,5,False,30,False,False
570373,68741949,True,3,False,2,False,False
433800,92383730,False,10,False,13,False,False
662825,70043832,True,0,False,0,False,False
1177992,52626322,True,0,False,1,False,False
