,nb_id,longer_beginning,longer_ending,has_author,has_equation,jupyter_prop,output_cell_prop,markdown_prop,num_contrib,image_prop,is_education,has_links,has_comments,md_frequency,has_title,num_commits,md_format,non_exec_prop,exec_inorder,exec_skips,has_error,has_export,num_functions,has_test,num_headers,has_param,num_stars
141,76904,False,False,False,False,high,low,medium,lower,low,False,False,True,medium,False,lower,True,low,higher,higher,False,False,higher,False,medium,False,lower
142,77830,True,True,False,False,medium,high,medium,lower,low,True,True,True,high,False,lower,True,low,higher,lower,False,True,higher,False,low,False,lower
143,77927,True,True,False,False,high,high,medium,lower,low,True,True,True,medium,False,lower,True,low,higher,lower,False,False,lower,False,medium,False,lower
144,77931,False,False,False,False,high,medium,medium,lower,medium,True,False,True,medium,False,lower,False,low,higher,higher,False,True,higher,False,medium,False,lower
145,77936,True,False,False,False,high,medium,medium,lower,low,False,False,True,high,True,lower,False,low,higher,lower,False,True,lower,False,low,False,lower
146,78213,False,False,False,False,high,medium,medium,lower,high,False,False,True,medium,False,lower,False,medium,higher,lower,False,False,lower,False,medium,False,lower
147,78721,False,True,False,False,medium,low,medium,lower,low,False,False,True,medium,True,higher,False,high,higher,lower,False,False,higher,False,medium,False,lower
148,79517,True,False,False,False,high,low,high,lower,low,True,True,True,high,True,lower,True,high,higher,lower,False,False,lower,False,medium,False,lower
149,79657,True,False,False,True,high,medium,high,lower,low,True,False,False,low,True,lower,True,low,higher,lower,False,False,lower,False,medium,False,lower
150,79879,True,False,False,True,high,low,medium,higher,low,True,False,True,medium,False,higher,True,high,higher,lower,False,False,lower,False,medium,False,higher
151,80238,True,False,False,True,high,medium,medium,lower,medium,True,False,True,high,True,lower,True,low,higher,lower,False,True,higher,False,medium,False,lower
152,80393,True,False,False,False,low,medium,medium,higher,low,False,False,True,medium,True,lower,False,low,higher,lower,False,False,lower,False,medium,False,lower
153,80537,True,False,False,True,high,medium,medium,lower,low,True,True,True,medium,True,lower,True,low,higher,lower,False,False,lower,False,high,False,lower
154,80861,True,False,False,False,high,medium,medium,lower,medium,False,False,True,medium,False,higher,False,low,lower,higher,True,False,higher,False,low,False,lower
155,80862,True,False,False,False,high,medium,medium,lower,medium,False,False,True,medium,False,higher,False,low,lower,higher,True,False,higher,False,low,False,lower
156,80878,True,False,False,False,high,medium,medium,lower,low,True,True,True,medium,True,lower,True,low,higher,lower,False,True,higher,False,high,False,lower
157,81166,False,True,False,False,high,medium,medium,lower,medium,True,False,True,low,True,lower,False,low,higher,lower,False,False,lower,False,medium,False,lower
158,83127,True,False,True,True,high,low,medium,lower,medium,True,False,True,medium,True,lower,False,low,higher,lower,False,False,lower,False,medium,False,lower
159,83707,True,False,False,False,high,low,medium,lower,low,True,True,True,medium,True,lower,True,high,higher,lower,False,False,lower,False,medium,False,lower
160,83711,True,False,False,False,low,low,medium,lower,low,True,True,True,medium,True,lower,True,high,higher,lower,False,False,lower,False,medium,False,lower
161,83886,False,False,True,False,medium,medium,low,higher,low,False,False,True,low,False,lower,True,low,lower,higher,False,False,lower,False,low,False,higher
162,84503,True,False,False,False,high,medium,medium,lower,low,False,False,True,high,True,lower,False,low,higher,lower,False,True,lower,False,low,False,lower
163,84522,False,False,False,False,high,medium,medium,lower,low,False,False,True,medium,False,higher,False,low,higher,higher,False,False,lower,False,medium,False,lower
164,84557,True,True,False,False,medium,medium,high,lower,medium,True,True,True,high,True,lower,True,low,higher,higher,False,False,lower,False,medium,False,lower
165,84651,False,False,False,False,high,medium,medium,lower,medium,False,False,True,high,False,lower,False,low,higher,higher,True,False,lower,False,low,False,lower
166,84732,True,True,False,False,medium,medium,high,lower,medium,True,True,True,high,True,lower,True,low,higher,higher,False,False,lower,False,medium,False,lower
167,84751,False,False,False,False,high,medium,medium,lower,low,False,False,True,medium,False,higher,False,low,higher,higher,False,False,lower,False,medium,False,lower
168,85188,True,True,False,False,medium,medium,high,lower,medium,True,True,True,high,True,lower,True,low,higher,lower,False,False,lower,False,medium,False,lower
169,85373,True,True,False,False,medium,medium,high,lower,medium,True,True,True,high,True,lower,True,low,higher,higher,False,False,lower,False,medium,False,lower
170,85575,True,True,False,False,medium,medium,high,lower,medium,True,True,True,high,True,lower,True,low,higher,lower,False,False,lower,False,medium,False,lower
171,85699,True,True,False,False,medium,medium,high,lower,medium,True,True,True,high,True,lower,True,low,higher,higher,False,False,lower,False,medium,False,lower
172,86914,True,True,False,True,high,medium,medium,lower,medium,True,True,True,high,True,lower,True,medium,higher,lower,False,False,lower,False,medium,False,lower
173,86970,True,True,False,False,medium,medium,medium,lower,low,True,True,True,high,True,lower,True,low,higher,lower,False,True,higher,False,high,False,lower
174,88734,False,False,False,False,high,medium,medium,lower,medium,True,False,True,medium,False,lower,False,low,higher,higher,False,False,lower,False,medium,False,lower
175,89030,True,True,False,False,low,medium,high,lower,medium,True,True,True,high,True,lower,True,low,higher,lower,False,False,lower,False,medium,False,lower
176,90294,True,True,False,False,high,high,medium,higher,medium,True,False,True,medium,True,higher,True,low,higher,lower,False,True,higher,False,medium,False,lower
177,90471,False,False,False,False,high,medium,low,lower,medium,True,False,True,low,False,lower,False,low,higher,lower,False,False,lower,False,low,False,lower
178,91353,False,False,False,False,high,low,medium,lower,low,True,False,True,medium,True,lower,True,low,higher,higher,False,False,higher,False,medium,False,lower
179,92028,False,False,False,False,high,medium,medium,lower,medium,False,False,True,high,False,lower,False,low,higher,lower,False,False,lower,False,low,False,lower
180,93893,True,False,False,False,high,medium,medium,lower,low,True,True,True,medium,True,lower,False,low,higher,lower,True,False,lower,False,medium,False,lower
181,94026,False,False,False,False,high,low,medium,lower,low,True,False,True,medium,True,lower,False,high,higher,lower,False,False,higher,False,medium,False,lower
182,94163,False,True,False,False,high,medium,medium,lower,low,True,True,True,medium,True,lower,False,low,higher,higher,False,False,lower,False,medium,False,lower
183,95539,True,True,False,False,high,low,high,lower,low,True,False,True,medium,True,lower,False,low,higher,lower,False,False,higher,False,medium,False,lower
184,95590,False,True,False,True,high,low,medium,lower,low,True,False,False,medium,True,lower,False,high,higher,lower,False,False,lower,False,medium,False,lower
185,95872,False,True,False,True,high,low,medium,lower,low,True,False,False,medium,True,lower,False,high,higher,lower,False,False,lower,False,medium,False,lower
186,96487,False,False,False,False,high,high,medium,lower,medium,True,True,True,high,True,lower,False,low,higher,lower,False,False,lower,False,medium,False,lower
187,98001,True,False,False,False,high,medium,medium,lower,low,False,False,True,high,True,lower,False,low,higher,lower,False,True,lower,False,low,False,lower
188,98288,True,False,False,False,high,medium,medium,lower,medium,True,False,True,medium,True,lower,True,low,higher,lower,False,False,lower,False,medium,False,lower
189,99644,False,False,False,True,high,medium,medium,lower,low,True,False,True,medium,False,lower,True,low,higher,higher,False,True,lower,False,low,False,lower
