,nb_id,has_author,jupyter_prop,output_cell_prop,num_contrib,image_prop,is_education,has_comments,num_commits,non_exec_prop,exec_inorder,exec_skips,has_error,has_export,num_functions,has_test,has_param,num_stars
172,162037,True,medium,low,lower,low,False,True,lower,higher,higher,lower,False,True,higher,False,False,lower
173,163365,False,medium,medium,lower,medium,False,False,higher,lower,lower,higher,False,False,higher,False,False,lower
174,163584,False,high,low,lower,low,False,True,lower,lower,higher,lower,False,True,higher,False,False,lower
175,163585,False,high,low,lower,low,False,True,lower,lower,higher,lower,False,True,higher,False,False,lower
176,163586,False,high,low,lower,low,False,True,lower,lower,higher,lower,False,True,higher,False,False,lower
177,163609,False,medium,medium,lower,medium,False,False,higher,lower,lower,higher,False,False,higher,False,False,lower
178,165523,False,high,medium,lower,low,False,True,higher,lower,higher,higher,True,True,lower,False,False,lower
179,166487,False,high,medium,lower,low,False,True,higher,lower,higher,lower,True,True,lower,False,False,lower
180,167917,False,low,low,lower,low,False,True,higher,lower,higher,lower,True,False,lower,False,False,lower
181,169342,False,low,medium,lower,low,False,False,lower,lower,higher,lower,False,False,lower,False,False,lower
182,169607,False,low,medium,lower,low,False,False,lower,lower,higher,lower,False,False,lower,False,False,lower
183,169613,False,high,medium,lower,low,False,True,higher,lower,higher,lower,False,True,lower,False,False,lower
184,169741,False,high,medium,lower,medium,False,True,lower,lower,higher,higher,False,False,higher,False,False,lower
185,170613,False,high,low,lower,low,False,False,lower,lower,higher,lower,False,False,lower,False,False,lower
186,171788,False,medium,low,lower,medium,False,True,lower,higher,higher,lower,False,True,higher,False,False,lower
187,173756,False,high,medium,lower,low,False,True,higher,lower,higher,lower,False,True,lower,False,False,lower
188,174021,False,high,medium,lower,low,False,True,lower,lower,higher,lower,False,True,lower,False,False,lower
189,174539,False,low,high,lower,medium,False,True,higher,lower,higher,lower,False,True,lower,False,False,lower
190,174721,False,high,medium,lower,low,False,True,lower,lower,higher,lower,False,True,lower,False,False,lower
191,175513,False,low,medium,lower,medium,False,True,lower,lower,higher,lower,False,False,lower,False,False,lower
192,176736,False,high,low,higher,low,False,True,lower,lower,higher,lower,False,True,lower,False,False,lower
